STUDYNO	EDITION	PART	IDNO	FIPS_ST	FIPS_CTY	CPOPARST	CPOPCRIM	AG_ARRST	AG_OFF	COVIND	VIOL	PROPERTY	MURDER	RAPE	ROBBERY	AGASSLT	BURGLRY	LARCENY	MVTHEFT	ARSON
9999	2	4	218	6	61	352670	352670	9	8	100	816	7830	6	61	156	593	1606	5513	711	42
9999	2	4	219	6	63	20152	20152	4	3	100	121	333	1	19	5	96	122	192	19	2
9999	2	4	220	6	65	2163913	2163913	39	32	100	7286	60984	93	424	2602	4167	17308	35135	8541	280
9999	2	4	221	6	67	1408817	1408817	20	17	100	8988	52121	70	448	3282	5188	12526	30971	8624	362
9999	2	4	222	6	69	54609	54609	6	5	100	246	1109	0	9	54	183	445	535	129	8
9999	2	4	223	6	71	2044304	2044304	38	32	97.9324	10132	58035	122	504	3073	6432	15447	32695	9892	514
9999	2	4	224	6	73	3010824	3010824	32	27	100	12775	69738	75	746	4033	7921	14522	41278	13938	394
9999	2	4	225	6	75	809755	809755	12	7	100	6030	35393	45	179	3478	2328	5272	25167	4954	198
9999	2	4	226	6	77	682784	682784	15	10	100	5531	28730	51	148	1759	3573	7521	17218	3991	121
9999	2	4	227	6	79	266382	266382	17	15	100	694	5977	4	89	106	495	1433	4169	375	88
9999	2	4	228	6	81	710707	710707	25	24	100	2072	15772	16	128	734	1194	3072	10712	1988	125
9999	2	4	229	6	83	404613	404613	16	13	100	1897	8909	11	123	262	1501	2290	5937	682	69
9999	2	4	230	6	85	1767336	1767336	27	24	100	5013	42753	46	387	1499	3081	7094	28303	7356	405
9999	2	4	231	6	87	251964	251964	10	9	100	1215	9059	10	79	222	904	1732	6480	847	67
9999	2	4	232	6	89	181512	181512	7	5	100	1280	4640	3	111	130	1036	1462	2839	339	27
9999	2	4	233	6	91	3220	3220	3	3	100	13	43	0	0	0	13	15	28	0	1
9999	2	4	234	6	93	44422	44422	15	13	100	183	806	1	18	16	148	257	467	82	3
9999	2	4	235	6	95	407294	407294	13	11	100	2064	13270	20	112	810	1122	4168	7018	2084	116
9999	2	4	236	6	97	465831	465831	18	17	100	1917	9450	9	163	318	1427	1993	6671	786	85
9999	2	4	237	6	99	516191	516191	16	13	100	2721	21577	46	122	706	1847	5748	12428	3401	373
9999	2	4	238	6	101	93466	93466	4	4	100	316	2118	1	24	54	237	444	1473	201	11
9999	2	4	239	6	103	61968	61968	5	5	100	387	1344	3	9	28	347	400	808	136	33
9999	2	4	240	6	105	14421	14421	3	3	100	22	152	0	0	3	19	60	66	26	0
